State,Account length,Area code,International plan,Voice mail plan,Number vmail messages,Total day minutes,Total day calls,Total eve minutes,Total eve calls,Total night minutes,Total night calls,Total intl minutes,Total intl calls,Customer service calls,Churn,Total_Calls,Total_minutes,Service_pressure,Call_Per_Day,min_per_day
TX,106,510,No,No,0,210.6,96,249.2,85,191.4,88,12.4,1,2,True,270,663.5999999999999,0.018691588785046728,2.5233644859813085,6.2018691588785035
IN,94,408,No,No,0,157.9,105,155.0,101,189.6,84,8.0,5,4,True,295,510.5,0.042105263157894736,3.1052631578947367,5.373684210526315
WV,111,510,No,No,0,214.3,118,208.5,76,182.4,98,12.0,2,1,False,294,617.2,0.008928571428571428,2.625,5.510714285714286
KY,74,415,No,Yes,35,154.1,104,123.4,84,202.1,57,10.9,9,2,False,254,490.5,0.02666666666666667,3.3866666666666667,6.54
NJ,128,415,No,No,0,237.9,125,247.6,93,208.9,68,13.9,4,1,True,290,708.3,0.007751937984496124,2.248062015503876,5.4906976744186045
DC,82,510,No,No,0,143.9,61,194.9,105,109.6,94,11.1,2,1,False,262,459.5,0.012048192771084338,3.1566265060240966,5.536144578313253
AR,80,415,No,No,0,124.3,100,173.0,107,253.2,62,7.9,9,1,False,278,558.4,0.012345679012345678,3.432098765432099,6.893827160493827
ME,78,415,No,No,0,252.9,93,178.4,112,263.9,105,9.5,7,3,False,317,704.7,0.0379746835443038,4.012658227848101,8.920253164556962
AZ,90,415,No,No,0,179.1,71,190.6,81,127.7,91,10.6,7,3,False,250,508.0,0.03296703296703297,2.7472527472527473,5.582417582417582
AK,104,408,No,No,0,278.4,106,81.0,113,163.2,137,9.8,5,1,False,361,532.3999999999999,0.009523809523809525,3.4380952380952383,5.070476190476189
AZ,99,415,No,No,0,198.2,87,207.3,76,190.9,113,8.7,3,4,False,279,605.1,0.04,2.79,6.051
MS,120,408,No,No,0,212.1,131,209.4,104,167.2,96,5.3,5,1,True,336,594.0,0.008264462809917356,2.7768595041322315,4.909090909090909
IA,98,510,No,Yes,21,161.2,114,252.2,83,160.2,92,4.4,8,4,False,297,577.9999999999999,0.04040404040404041,3.0,5.838383838383837
VT,135,415,No,No,0,151.7,82,119.0,105,180.0,100,10.5,6,0,False,293,461.2,0.0,2.1544117647058822,3.3911764705882352
IN,122,408,No,No,0,170.5,94,173.7,109,248.6,75,11.3,2,1,False,280,604.0999999999999,0.008130081300813009,2.2764227642276422,4.911382113821137
AZ,95,408,No,No,0,238.1,65,187.2,98,190.0,115,11.8,4,4,False,282,627.0999999999999,0.041666666666666664,2.9375,6.532291666666666
NM,93,510,No,Yes,21,117.9,131,164.5,115,217.0,86,9.8,3,1,False,335,509.2,0.010638297872340425,3.5638297872340425,5.417021276595745
UT,157,408,No,No,0,229.8,90,147.9,121,241.4,108,9.6,7,3,False,326,628.7,0.0189873417721519,2.0632911392405062,3.9791139240506332
MI,120,408,No,No,0,165.0,100,317.2,83,119.2,86,8.3,8,1,False,277,609.6999999999999,0.008264462809917356,2.2892561983471076,5.038842975206611
MA,103,415,No,No,0,185.0,117,223.3,94,222.8,91,12.6,2,2,False,304,643.7,0.019230769230769232,2.923076923076923,6.189423076923077
AL,98,408,No,No,0,161.0,117,190.9,113,227.7,113,12.1,4,4,False,347,591.6999999999999,0.04040404040404041,3.505050505050505,5.976767676767676
DE,125,408,No,No,0,126.7,108,206.0,90,247.8,114,13.3,7,1,False,319,593.8,0.007936507936507936,2.5317460317460316,4.712698412698412
ME,36,510,Yes,Yes,42,196.8,89,254.9,122,138.3,126,20.0,6,0,True,343,610.0,0.0,9.27027027027027,16.486486486486488
NJ,64,510,No,No,0,162.6,83,152.3,109,57.5,122,14.2,3,1,False,317,386.59999999999997,0.015384615384615385,4.876923076923077,5.947692307692307
NV,74,415,No,No,0,282.5,114,219.9,48,170.0,115,9.4,4,1,True,281,681.8,0.013333333333333334,3.7466666666666666,9.090666666666666
MO,112,510,No,Yes,36,113.7,117,157.5,82,177.6,118,10.0,3,2,False,320,458.79999999999995,0.017699115044247787,2.831858407079646,4.060176991150442
NE,46,408,No,No,0,210.2,92,227.3,77,200.1,116,13.1,7,1,False,292,650.7,0.02127659574468085,6.212765957446808,13.844680851063831
TX,41,408,No,Yes,22,213.8,102,141.8,86,142.2,123,7.2,3,0,False,314,505.0,0.0,7.476190476190476,12.023809523809524
MD,121,510,No,No,0,190.7,103,183.5,117,220.8,103,9.8,4,3,False,327,604.8,0.02459016393442623,2.680327868852459,4.9573770491803275
MS,193,415,No,No,0,170.9,124,132.3,95,112.9,89,11.6,3,1,False,311,427.70000000000005,0.005154639175257732,1.6030927835051547,2.204639175257732
NV,130,510,No,No,0,154.2,119,110.2,98,227.4,117,9.2,5,2,False,339,500.99999999999994,0.015267175572519083,2.5877862595419847,3.82442748091603
AZ,85,408,No,No,0,201.4,52,229.4,104,252.5,106,12.0,3,1,False,265,695.3,0.011627906976744186,3.0813953488372094,8.084883720930232
MS,162,415,No,No,0,70.7,108,157.5,87,154.8,82,9.1,3,4,True,280,392.1,0.024539877300613498,1.7177914110429449,2.405521472392638
MS,61,510,No,Yes,27,187.5,124,146.6,103,225.7,129,6.4,6,4,True,362,566.1999999999999,0.06451612903225806,5.838709677419355,9.132258064516128
TX,92,408,No,No,0,91.7,90,193.7,123,175.0,86,9.2,4,2,False,303,469.59999999999997,0.021505376344086023,3.2580645161290325,5.049462365591397
NE,131,408,No,Yes,36,214.2,115,161.7,117,264.7,102,9.5,4,3,False,338,650.0999999999999,0.022727272727272728,2.5606060606060606,4.924999999999999
NE,90,415,No,No,0,145.5,92,217.7,114,146.9,123,10.9,2,3,False,331,521.0,0.03296703296703297,3.6373626373626373,5.725274725274725
NJ,78,415,No,No,0,231.0,115,230.4,140,261.4,120,9.5,3,1,False,378,732.3,0.012658227848101266,4.784810126582278,9.269620253164556
TX,82,408,No,No,0,200.3,96,201.2,102,206.1,60,7.1,1,4,False,259,614.7,0.04819277108433735,3.1204819277108435,7.406024096385543
AR,163,408,No,No,0,197.0,109,202.6,128,206.4,80,9.1,10,1,False,327,615.1,0.006097560975609756,1.9939024390243902,3.7506097560975613
AL,91,510,Yes,No,0,129.9,112,173.3,83,247.2,130,11.2,3,3,False,328,561.6000000000001,0.03260869565217391,3.5652173913043477,6.104347826086958
NY,75,415,No,Yes,21,175.8,97,217.5,106,237.5,134,5.3,4,5,False,341,636.0999999999999,0.06578947368421052,4.4868421052631575,8.369736842105262
FL,91,510,No,No,0,203.1,106,210.1,113,195.6,129,12.0,3,3,False,351,620.8,0.03260869565217391,3.8152173913043477,6.747826086956521
AK,127,510,No,Yes,36,183.2,117,126.8,76,263.3,71,11.2,8,1,False,272,584.5,0.0078125,2.125,4.56640625
NV,113,415,No,Yes,23,205.0,101,152.0,60,158.6,59,10.2,5,2,False,225,525.8000000000001,0.017543859649122806,1.9736842105263157,4.612280701754386
DE,110,510,No,No,0,148.5,115,276.4,84,193.6,112,12.4,3,1,False,314,630.9,0.009009009009009009,2.828828828828829,5.683783783783784
MD,120,415,No,Yes,39,200.3,68,220.4,97,253.8,116,10.5,4,0,False,285,685.0,0.0,2.355371900826446,5.661157024793388
MI,157,415,No,Yes,28,192.6,107,195.5,74,109.7,139,6.8,5,3,False,325,504.6,0.0189873417721519,2.0569620253164556,3.1936708860759495
VT,103,510,No,No,0,246.5,47,195.5,84,200.5,96,11.7,4,1,False,231,654.2,0.009615384615384616,2.2211538461538463,6.290384615384616
VT,117,408,Yes,No,0,167.1,86,177.5,87,249.4,132,14.1,7,2,True,312,608.1,0.01694915254237288,2.6440677966101696,5.153389830508475
MI,140,415,No,No,0,231.9,101,160.1,94,110.4,98,14.3,6,3,False,299,516.6999999999999,0.02127659574468085,2.120567375886525,3.664539007092198
UT,83,408,Yes,No,0,271.5,87,216.3,126,121.1,105,11.7,4,1,False,322,620.6,0.011904761904761904,3.8333333333333335,7.3880952380952385
RI,145,408,No,Yes,43,257.7,97,162.1,95,286.9,86,11.1,4,2,False,282,717.8,0.0136986301369863,1.9315068493150684,4.916438356164384
IA,113,408,No,No,0,193.8,99,221.4,125,172.3,67,10.6,6,1,False,297,598.1,0.008771929824561403,2.6052631578947367,5.246491228070176
RI,56,415,No,No,0,226.0,112,248.5,118,140.5,142,6.9,11,1,False,383,621.9,0.017543859649122806,6.719298245614035,10.910526315789474
OK,96,415,No,No,0,260.4,115,146.0,46,269.5,87,11.5,4,5,False,252,687.4,0.05154639175257732,2.597938144329897,7.08659793814433
LA,151,408,No,No,0,178.7,116,292.1,138,265.9,101,9.8,4,0,False,359,746.5,0.0,2.361842105263158,4.911184210526316
OH,83,415,No,No,0,337.4,120,227.4,116,153.9,114,15.8,7,0,True,357,734.4999999999999,0.0,4.25,8.744047619047617
VA,139,510,No,Yes,23,157.6,129,247.0,96,259.2,112,13.7,2,0,False,339,677.5,0.0,2.4214285714285713,4.839285714285714
FL,115,510,No,Yes,24,142.1,124,183.4,129,164.8,114,9.6,4,1,False,371,499.90000000000003,0.008620689655172414,3.1982758620689653,4.30948275862069
SC,87,415,No,No,0,136.3,97,172.2,108,137.5,101,7.1,5,0,False,311,453.1,0.0,3.534090909090909,5.148863636363637
VA,141,415,No,No,0,217.1,110,241.5,111,253.5,103,12.0,6,0,False,330,724.1,0.0,2.323943661971831,5.099295774647888
IA,141,510,No,Yes,36,187.5,99,241.4,116,229.5,105,10.5,5,3,False,325,668.9,0.02112676056338028,2.288732394366197,4.71056338028169
MI,62,415,No,No,0,98.9,103,135.4,122,236.6,82,12.2,1,1,False,308,483.09999999999997,0.015873015873015872,4.888888888888889,7.668253968253968
OK,146,415,No,No,0,206.3,151,148.6,89,167.2,91,6.1,3,1,False,334,528.1999999999999,0.006802721088435374,2.272108843537415,3.593197278911564
DE,92,415,No,Yes,33,243.1,92,213.8,92,228.7,104,12.1,2,2,False,290,697.6999999999999,0.021505376344086023,3.118279569892473,7.5021505376344075
GA,185,510,No,Yes,31,189.8,126,163.3,133,264.8,126,7.5,3,1,False,388,625.4000000000001,0.005376344086021506,2.086021505376344,3.36236559139785
DC,148,415,No,No,0,202.0,102,243.2,128,261.3,90,10.9,3,1,False,323,717.4,0.006711409395973154,2.1677852348993287,4.814765100671141
AZ,94,408,No,Yes,38,170.1,124,193.3,116,105.9,73,12.8,4,1,False,317,482.09999999999997,0.010526315789473684,3.336842105263158,5.0747368421052625
CO,68,408,No,No,0,237.1,105,223.5,105,97.4,79,13.2,2,1,False,291,571.2,0.014492753623188406,4.217391304347826,8.278260869565218
LA,179,408,No,No,0,219.2,92,149.4,125,244.7,104,6.1,5,0,False,326,619.4,0.0,1.8111111111111111,3.441111111111111
NE,94,415,No,No,0,252.6,104,169.0,125,170.9,106,11.1,7,2,False,342,603.6,0.021052631578947368,3.6,6.353684210526316
MN,62,415,No,No,0,147.1,91,190.4,107,195.2,115,12.2,3,0,False,316,544.9000000000001,0.0,5.015873015873016,8.64920634920635
AR,116,408,No,No,0,173.5,93,194.1,76,208.0,112,16.2,10,3,False,291,591.8000000000001,0.02564102564102564,2.4871794871794872,5.058119658119659
KS,70,408,No,No,0,232.1,122,292.3,112,201.2,112,0.0,0,3,False,346,725.5999999999999,0.04225352112676056,4.873239436619718,10.219718309859154
WV,94,510,Yes,Yes,23,197.1,125,214.5,136,282.2,103,9.5,5,4,False,369,703.3,0.042105263157894736,3.8842105263157896,7.403157894736841
AK,126,415,No,No,0,58.2,94,138.7,118,136.8,91,11.9,1,5,True,304,345.59999999999997,0.03937007874015748,2.393700787401575,2.7212598425196846
NY,67,408,No,Yes,36,115.6,111,237.7,94,169.9,103,9.9,12,2,False,320,533.0999999999999,0.029411764705882353,4.705882352941177,7.8397058823529395
NH,19,408,No,No,0,186.1,98,254.3,57,214.0,127,14.6,7,2,False,289,669.0,0.1,14.45,33.45
VA,170,510,Yes,No,0,259.9,68,245.0,122,134.4,121,8.4,3,3,False,314,647.6999999999999,0.017543859649122806,1.8362573099415205,3.7877192982456136
NM,73,415,No,No,0,214.3,145,268.5,135,241.2,92,10.8,13,1,False,385,734.8,0.013513513513513514,5.202702702702703,9.92972972972973
NY,106,408,No,No,0,158.7,74,64.3,139,198.5,103,10.2,4,1,False,320,431.7,0.009345794392523364,2.9906542056074765,4.034579439252337
WY,164,510,No,No,0,160.6,111,163.2,126,187.1,112,9.0,3,1,False,352,519.9,0.006060606060606061,2.1333333333333333,3.150909090909091
WA,51,408,No,No,0,232.4,109,187.4,95,231.2,107,9.1,3,1,False,314,660.1,0.019230769230769232,6.038461538461538,12.694230769230769
CO,107,415,No,No,0,133.8,85,180.5,94,112.2,115,8.9,4,0,False,298,435.4,0.0,2.759259259259259,4.031481481481482
TX,130,415,No,No,0,176.9,109,90.7,104,238.0,69,9.5,2,1,False,284,515.1,0.007633587786259542,2.16793893129771,3.93206106870229
KY,80,408,No,No,0,209.9,74,195.1,77,208.2,119,8.8,4,2,False,274,622.0,0.024691358024691357,3.382716049382716,7.679012345679013
MT,94,415,No,No,0,137.5,118,203.2,88,150.0,131,13.4,2,0,False,339,504.09999999999997,0.0,3.568421052631579,5.306315789473683
OK,118,408,No,Yes,23,289.5,52,166.6,111,119.1,88,9.5,4,1,False,255,584.7,0.008403361344537815,2.142857142857143,4.913445378151261
MD,117,415,No,Yes,23,198.1,86,177.0,86,180.5,92,6.8,6,1,False,270,562.4,0.00847457627118644,2.288135593220339,4.766101694915254
TN,78,415,No,No,0,149.7,119,182.2,115,261.5,126,9.7,8,0,False,368,603.1,0.0,4.658227848101266,7.634177215189874
ME,131,510,Yes,Yes,26,292.9,101,199.7,97,255.3,127,13.8,7,4,True,332,761.6999999999999,0.030303030303030304,2.515151515151515,5.770454545454545
DC,63,408,No,No,0,83.0,64,177.0,106,245.7,89,13.0,3,0,False,262,518.7,0.0,4.09375,8.1046875
MN,53,415,No,Yes,24,145.7,146,220.5,136,249.9,96,13.1,5,3,False,383,629.2,0.05555555555555555,7.092592592592593,11.651851851851852
DE,62,408,No,No,0,182.3,101,328.2,93,245.0,131,11.2,1,2,False,326,766.7,0.031746031746031744,5.174603174603175,12.169841269841271
MD,97,415,No,No,0,218.0,86,184.0,94,240.5,110,6.4,8,3,False,298,648.9,0.030612244897959183,3.0408163265306123,6.621428571428571
MI,105,510,No,No,0,140.6,109,178.6,51,217.0,83,6.8,3,2,False,246,543.0,0.018867924528301886,2.3207547169811322,5.122641509433962
WA,157,415,No,No,0,152.7,105,257.5,80,198.1,93,9.4,4,1,False,282,617.6999999999999,0.006329113924050633,1.7848101265822784,3.9094936708860755
MO,66,415,No,Yes,36,106.7,76,209.8,77,190.4,117,12.1,2,1,False,272,519.0,0.014925373134328358,4.059701492537314,7.746268656716418
OR,38,415,No,No,0,194.4,94,186.7,95,223.3,90,10.8,5,3,False,284,615.2,0.07692307692307693,7.282051282051282,15.774358974358975
MD,106,510,No,No,0,213.9,95,151.9,70,260.1,124,12.2,5,3,False,294,638.1000000000001,0.028037383177570093,2.7476635514018692,5.96355140186916
RI,99,510,No,No,0,217.2,112,246.7,89,226.1,89,15.8,7,3,False,297,705.8,0.03,2.97,7.058
AZ,144,510,Yes,No,0,203.5,100,247.6,103,194.3,94,11.9,11,0,False,308,657.3000000000001,0.0,2.1241379310344826,4.533103448275862
PA,82,415,No,Yes,24,155.2,131,244.5,106,122.4,68,10.7,3,1,False,308,532.8000000000001,0.012048192771084338,3.710843373493976,6.419277108433736
AZ,86,408,No,Yes,31,167.6,139,113.0,118,246.9,121,12.2,6,1,False,384,539.7,0.011494252873563218,4.413793103448276,6.20344827586207
FL,70,510,Yes,No,0,226.7,98,228.1,115,73.2,93,17.6,4,2,True,310,545.6,0.028169014084507043,4.366197183098592,7.6845070422535215
LA,93,415,No,No,0,179.3,93,178.6,98,225.2,131,11.5,6,3,False,328,594.5999999999999,0.031914893617021274,3.4893617021276597,6.325531914893616
FL,93,415,No,No,0,151.4,89,186.4,76,172.5,120,10.9,3,0,False,288,521.2,0.0,3.0638297872340425,5.544680851063831
FL,120,415,No,No,0,180.0,80,224.2,82,265.4,91,4.7,7,3,False,260,674.3,0.024793388429752067,2.1487603305785123,5.572727272727272
MD,136,415,No,No,0,250.2,121,267.1,118,151.0,114,13.0,2,1,True,355,681.3,0.0072992700729927005,2.591240875912409,4.972992700729927
AL,106,415,No,No,0,223.0,121,110.1,98,188.7,107,7.1,12,0,False,338,528.9,0.0,3.1588785046728973,4.942990654205607
WA,81,415,No,No,0,183.6,116,152.6,98,212.2,99,12.2,6,3,False,319,560.6,0.036585365853658534,3.8902439024390243,6.836585365853659
TN,127,408,No,Yes,22,166.0,114,174.5,103,244.9,68,10.2,6,1,False,291,595.6,0.0078125,2.2734375,4.653125
ME,35,408,No,No,0,149.3,113,242.2,122,174.3,104,8.9,6,2,False,345,574.6999999999999,0.05555555555555555,9.583333333333334,15.963888888888887
OK,88,408,No,No,0,65.4,97,168.2,76,236.0,113,13.8,1,2,False,287,483.40000000000003,0.02247191011235955,3.2247191011235956,5.431460674157304
MO,123,415,No,No,0,206.9,85,244.7,78,221.5,136,7.7,2,3,False,301,680.8000000000001,0.024193548387096774,2.4274193548387095,5.490322580645162
